127.0.0.1, 2013-01-19 09:27:46, GET, /, HTTP/1.1, 303, 0.007000
127.0.0.1, 2013-01-19 09:27:47, GET, /welcome/default/index, HTTP/1.1, 200, 0.762000
127.0.0.1, 2013-01-19 09:27:47, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-01-19 09:27:47, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-01-19 09:27:47, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2013-01-19 09:27:47, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2013-01-19 09:27:47, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2013-01-19 09:27:47, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2013-01-19 09:27:47, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-01-19 09:27:47, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-01-19 09:27:47, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2013-01-19 09:27:47, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2013-01-19 09:27:47, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2013-01-19 09:27:47, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-01-19 09:27:48, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-01-19 09:27:48, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-01-19 09:27:48, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-01-19 09:27:48, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-01-19 09:27:55, GET, /admin/default/index, HTTP/1.1, 200, 0.243000
127.0.0.1, 2013-01-19 09:27:55, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2013-01-19 09:27:58, POST, /admin/default/index, HTTP/1.1, 303, 0.106000
127.0.0.1, 2013-01-19 09:27:58, GET, /admin/default/site, HTTP/1.1, 200, 0.079000
127.0.0.1, 2013-01-19 09:27:59, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2013-01-19 09:27:59, POST, /admin/default/check_version, HTTP/1.1, 200, 0.613000
127.0.0.1, 2013-01-19 09:27:59, GET, /admin/default/twitter.load, HTTP/1.1, 200, 0.592000
127.0.0.1, 2013-01-19 09:28:02, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.312000
127.0.0.1, 2013-01-19 09:28:03, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2013-01-19 09:28:23, POST, /admin/default/create_file, HTTP/1.1, 303, 0.063000
127.0.0.1, 2013-01-19 09:28:23, GET, /admin/default/edit/welcome/controllers/webrtc.py, HTTP/1.1, 200, 0.076000
127.0.0.1, 2013-01-19 09:28:23, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2013-01-19 09:28:52, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.271000
127.0.0.1, 2013-01-19 09:28:53, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2013-01-19 09:29:01, GET, /admin/default/edit/welcome/views/web2py_ajax.html, HTTP/1.1, 200, 0.075000
127.0.0.1, 2013-01-19 09:29:02, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2013-01-19 09:29:47, POST, /admin/default/edit/welcome/controllers/webrtc.py, HTTP/1.1, 200, 0.054000
127.0.0.1, 2013-01-19 09:29:52, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.339000
127.0.0.1, 2013-01-19 09:29:52, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2013-01-19 09:30:16, POST, /admin/default/create_file, HTTP/1.1, 303, 0.055000
127.0.0.1, 2013-01-19 09:30:16, GET, /admin/default/edit/welcome/views/webrtc_.html, HTTP/1.1, 200, 0.077000
127.0.0.1, 2013-01-19 09:30:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2013-01-19 09:30:20, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.236000
127.0.0.1, 2013-01-19 09:30:20, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2013-01-19 09:30:51, POST, /admin/default/create_file, HTTP/1.1, 303, 0.064000
127.0.0.1, 2013-01-19 09:30:51, GET, /admin/default/edit/welcome/views/webrtc/index.html, HTTP/1.1, 200, 0.077000
127.0.0.1, 2013-01-19 09:30:51, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2013-01-19 09:31:30, POST, /admin/default/edit/welcome/views/webrtc/index.html, HTTP/1.1, 200, 0.059000
127.0.0.1, 2013-01-19 09:31:34, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.247000
127.0.0.1, 2013-01-19 09:31:34, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2013-01-19 09:32:06, GET, /, HTTP/1.1, 303, 0.001000
127.0.0.1, 2013-01-19 09:32:07, GET, /welcome/default/index, HTTP/1.1, 200, 0.050000
127.0.0.1, 2013-01-19 09:32:16, GET, /welcome/webrtc/index, HTTP/1.1, 500, 0.370000
127.0.0.1, 2013-01-19 09:32:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2013-01-19 09:32:18, GET, /admin/default/ticket/welcome/127.0.0.1.2013-01-19.09-32-16.c797d716-9f73-4540-97ad-6822115f9b04, HTTP/1.1, 200, 0.166000
127.0.0.1, 2013-01-19 09:32:19, GET, /admin/static/images/ticket_section.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-01-19 09:32:19, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2013-01-19 09:32:35, POST, /admin/default/edit/welcome/controllers/webrtc.py, HTTP/1.1, 200, 0.057000
127.0.0.1, 2013-01-19 09:32:39, GET, /welcome/webrtc/index, HTTP/1.1, 200, 0.049000
127.0.0.1, 2013-01-19 09:32:40, GET, /welcome/static/js/rtc.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-01-19 09:33:35, GET, /admin/default/design/sms_chimp, HTTP/1.1, 500, 0.135000
127.0.0.1, 2013-01-19 09:33:36, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2013-01-19 09:33:40, GET, /admin, HTTP/1.1, 303, 0.012000
127.0.0.1, 2013-01-19 09:33:40, GET, /admin/default/site, HTTP/1.1, 200, 0.086000
127.0.0.1, 2013-01-19 09:33:40, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2013-01-19 09:33:41, GET, /admin/default/twitter.load, HTTP/1.1, 200, 0.592000
127.0.0.1, 2013-01-19 09:33:43, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.267000
127.0.0.1, 2013-01-19 09:33:43, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2013-01-19 09:38:43, GET, /, HTTP/1.1, 303, 0.000000
127.0.0.1, 2013-01-19 09:38:44, GET, /welcome/default/index, HTTP/1.1, 200, 0.059000
127.0.0.1, 2013-01-19 09:39:04, GET, /welcome/webrtc/index, HTTP/1.1, 200, 0.081000
127.0.0.1, 2013-01-19 09:39:05, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-01-19 09:39:05, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-01-19 09:39:05, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-01-19 09:39:05, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-01-19 09:39:05, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-01-19 09:39:05, GET, /welcome/static/js/rtc.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-01-19 09:39:05, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-01-19 09:39:05, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-01-19 09:39:05, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2013-01-19 09:39:05, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2013-01-19 09:39:05, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2013-01-19 09:39:05, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2013-01-19 09:39:05, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2013-01-19 09:39:06, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-01-19 09:39:06, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-01-19 09:39:06, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.001000
